token,count
面試,1636
hr,1049
老闆,930
客人,902
實習,774
打工,717
主管,709
離職,670
通知,521
履歷,492
薪水,485
同事,455
店長,435
上班,427
經驗,410
醫院,343
錄取,341
業務,325
體檢,324
員工,318
薪資,315
銀行,312
畢業,302
應徵,300
評價,297
加班,291
老師,288
設計,285
比較,284
小時,282
護理,280
事務所,269
朋友,267
英文,258
補習班,257
正職,256
家教,249
工程師,249
報名,244
客服,241
行銷,239
工讀,236
問題,234
門市,230
職缺,229
暑期,228
證照,219
高雄,216
兼職,214
飯店,214
台北,210
筆試,209
申請,207
前輩,207
部門,207
老闆娘,207
研究所,206
外場,206
診所,205
助理,204
報到,203
勞保,203
學長,202
飲料店,190
需要,190
時間,189
消息,188
offer,187
待遇,187
業績,186
好奇,185
下班,184
台灣,184
心得,181
工廠,180
實習生,180
面試官,180
內場,180
年終,178
會計,178
經理,178
咖啡,178
資訊,177
工讀生,175
推薦,175
科技,174
每天,173
客戶,173
對方,173
年薪,172
邀請,171
保險,170
電話,170
pt,170
喜歡,169
活動,169
禮拜,168
碩士,167
請假,165
試用期,162
合約,162
人資,161
行政,160
餐飲,160
小孩,159
企劃,159
資料,158
排班,157
課程,156
底薪,156
早班,155
影片,154
考試,153
過年,153
日本,151
飲料,150
氣氛,149
東西,149
店員,149
學生,148
參加,148
準備,147
就業,147
時薪,145
證明,145
新人,144
晚班,144
媽媽,144
單位,143
福利,143
輪班,143
時數,143
產業,141
疫情,141
感覺,140
軟體,140
求職,138
回覆,138
廠商,138
老鳥,138
補助,137
主任,137
想要,135
一個月,134
月薪,133
一年,133
轉職,133
男友,133
事情,132
雇主,132
研究,132
po,131
女生,131
品牌,130
科系,128
從事,128
暑假,128
如何,126
訊息,126
測驗,126
結果,125
選擇,125
人員,125
醫生,125
在職,124
網路上,124
職業,124
到職,124
未來,123
職務,123
餐廳,122
大學,122
本科,122
人力,121
計畫,121
工時,121
專案,120
餐飲業,119
解答,119
小妹,119
服務業,118
緊張,118
產品,117
商品,117
勞健保,117
勞工,116
職位,116
辭職,116
國外,116
企業,116
獎金,115
學校,115
小姐,115
家長,115
附近,114
調薪,114
回答,113
男生,113
學歷,113
興趣,112
電腦,112
文章,112
假日,112
案子,112
希望,111
家人,111
壓力,111
網路,111
打卡,111
櫃檯,110
行業,110
成績,109
機會,108
管理,108
加油,108
qq,107
小朋友,107
參考,105
通過,105
上課,105
系統,104
姐姐,104
同學,103
病人,102
注意,102
結帳,102
幫忙,101
制度,101
在家,100
感謝,100
讀書,100
技術,98
手機,97
正式,97
辦公室,96
性質,96
有關,96
職場,96
賺錢,95
月底,95
孩子,95
大四,95
明天,94
line,94
領域,94
加班費,93
生活,93
地點,92
進去,91
學習,90
上手,90
使用,90
成功,90
廁所,90
了解,89
請教,88
聽說,88
提供,88
接到,88
適合,86
回應,85
服務,85
平日,85
大約,85
一週,85
規定,84
條件,84
能力,84
政府,84
裡面,83
兩天,83
訓練,82
穩定,82
聯絡,82
方法,81
整理,81
合理,80
發展,80
奧客,80
努力,79
休假,79
要求,79
專業,78
合作,78
身體,77
應屆,77
環境,76
討論,76
經歷,76
處理,76
休息,76
別人,76
答案,75
打電話,75
第一天,75
報告,75
第一份,74
教育,74
上網,73
兩個,73
勞基法,73
符合,73
奇怪,73
狀況,72
幾天,72
作業,72
店裡,72
方向,72
回去,72
上來,72
事件,71
目標,71
哈哈,71
嘗試,71
實際,70
遇到,70
介紹,69
流程,69
菜鳥,69
告知,69
建議,68
猶豫,68
新鮮人,68
固定,68
社會,67
擔任,67
配合,66
自我介紹,66
主動,66
人生,65
小心,65
現場,65
適應,65
高中,65
兩年,64
認識,63
拒絕,63
發文,62
ok,62
害怕,62
協助,62
很難,61
辦法,60
影響,60
意思,60
方便,60
忘記,60
xx,60
半年,59
家裡,59
晚上,59
背景,59
資深,59
離開,58
想法,58
理由,58
遇過,58
曾經,57
不想,57
抱怨,57
ps,57
交接,56
相處,56
當天,55
習慣,55
程度,55
上班時間,54
地方,54
意見,54
怎麼辦,54
擔心,54
考慮,54
準時,54
輕鬆,54
聊天,53
超過,53
身邊,53
麻煩,52
吃飯,52
順便,52
半小時,52
進行,52
第一次,51
打算,51
不好,51
討厭,51
方式,50
辛苦,50
出現,49
外面,49
開會,49
解決,49
講話,48
特別,48
提早,48
隨便,48
確認,48
放棄,48
態度,48
安排,48
順利,47
年輕,47
情況,47
告訴,47
進入,47
負責,47
容易,47
重要,46
過來,46
繼續,46
學到,46
包含,45
拿到,45
代表,45
年紀,45
熟悉,45
個性,45
雖然,44
一件,44
回家,44
想到,44
心情,44
完成,44
規劃,44
做到,43
位置,43
更好,43
禮貌,42
面對,42
竟然,42
提醒,41
終於,41
表現,41
答應,40
提到,40
結束,40
關係,40
回來,40
認真,39
開心,39
當初,39
幫助,39
不夠,39
累積,39
造成,39
相信,38
發生,38
得到,38
心態,38
浪費,38
說明,37
不爽,37
確定,37
解釋,37
懷疑,37
心裡,37
接受,36
旁邊,36
要來,36
第一個,36
無法,36
做好,35
清楚,35
經過,35
接觸,35
印象,34
不敢,34
趕快,34
思考,33
左右,33
很快,33
願意,33
反應,33
出去,33
提出,33
尊重,32
原因,31
必須,31
不行,31
過程,31
主要,31
做事,30
說話,30
沒想到,30
還說,30
生氣,30
記得,29
基本,29
馬上,29
針對,28
重點,27
決定,27
溝通,26
誇張,25
絕對,24
簡單,24
畢業生,24
聽到,23
理解,22
畢竟,15
